Sr. No,Institute Code,Institute Name,DISTRICT,Status,Fees,Hostel,Avg Placement,Highest Placement,Minority,Branch,GOPEN,GOPEN R,GOBC,GOBC R,GSC,GSC R,GST( S & H),GST R,GVJ(S & H),GVJ R,GNT1(S & H),GNT1 R,GNT2( S& H),GNT2 R,GNT3( S& H),GNT3 R,GSEBC (S & H),GSEBC R,LOPEN( S & H),LOPEN R,LOBC(S & H),LOBC R,LSC( S&  H),LSC R,LST(S & H),LST R,LVJ(S & H),LVJ R,LNT1(S & H),LNT1 R,LNT2(S & H),LNT2 R,LNT3(S & H),LNT3 R,LSEBC(S & H),LSEBC R,MI,MI R,TFWS,TFWS R,EWS,EWS R,ORPHAN,ORPHAN R,DEFOPENS,DEFOPENS R,DEFOBCS,DEFOBCS R,DEFROBCS,DEFROBCS R,DEFSCS,DEFSCS R,DEFRSCS,DEFRSCS R,DEFSTS,DEFSTS R,DEFSEBCS,DEFSEBCS R,DEFRSEBCS,DEFRSEBCS R,DEFRNT1S,DEFRNT1S R,DEFRNT2S,DEFRNT2S R,DEFRNT3S,DEFRNT3S R,DEFRVJS,DEFRVJS R,PWDOPENS,PWDOPENS R,PWDOPENH,PWDOPENH R,PWDOBCS,PWDOBCS R,PWDOBCH,PWDOBCH R,PWDROBCS,PWDROBCS R,PWDROBCH,PWDROBCH R,PWDSCS,PWDSCS R,PWDSCH,PWDSCH R,PWDRSCS,PWDRSCS R,PWDRSCH,PWDRSCH R,PWDRSTS,PWDRSTS R,PWDRSTH,PWDRSTH R,PWDSEBCS,PWDSEBCS R,PWDRSEBCS,PWDRSEBCS R,PWDRSEBCH,PWDRSEBCH R,PWDRNT1S,PWDRNT1S R,PWDRNT2S,PWDRNT2S R,PWDRNT3S,PWDRNT3S R,PWDRVJS,PWDRVJS R,AI,AI R
125,2008,"Government College Of Engineering, Chhatrapati Sambhajinagar",Chhatrapati Sambhajinagar,"Govt, Auto",L,,,,,Information Technology,96.260142,11305,96.0392321,11990,91.3201487,25935,73.3652047,74672,95.3558147,14024,92.8488216,21495,94.589536,16313,96.2307277,11360,95.6636222,13106,95.8553634,12501,95.1775609,14629,90.7979989,27544,60.0743746,104280,,,,,92.2993808,23165,,,95.3445649,14074,,,96.9748411,9110,95.3445649,14070,63.5258359,95790,91.3238751,25860,82.4585869,51100,90.4797169,28323,,,,,,,,,,,,,,,,,,,78.9120215,60866,,,54.3568289,113574,,,,,,,,,,,,,,,65.8812284,91325,,,,,,,,,,,,,,,,,,
344,3036,"Institute Of Chemical Technology, Matunga, Mumbai",Mumbai,"Deemed University, Autonomous",,A,6 LPA,9 LPA,,Chemical Engineering,99.6227344,926,98.5847116,4102,95.8254736,12643,81.7658119,52772,95.0338694,14991,97.2978705,8124,97.7560024,6725,97.1791141,8498,97.5983511,7191,99.53098,1197,98.5638277,4188,94.9881677,15184,83.4700421,48339,,,,,,,,,97.7724112,6642,,,99.462496,1387,97.3911937,7867,95.3571584,13981,98.840158,3302,94.4356715,16787,97.5434068,7403,,,,,,,,,,,,,,,,,,,95.2773852,14280,,,57.9919409,106966,,,,,,,,,,,73.8893284,72656,,,,,,,,,,,,,,,,,,,,,97.7758164,1413
123,2008,"Government College Of Engineering, Chhatrapati Sambhajinagar",Chhatrapati Sambhajinagar,"Govt, Auto",L,,,,,Civil Engineering,88.5551879,33818,85.9711131,41161,80.7840564,55366,63.5258359,95844,83.752973,46848,76.3630319,66786,85.1704164,43473,,,85.2662319,43038,88.1366358,34971,83.1469549,48807,79.7465759,58190,63.9612515,95018,,,,,,,77.6411427,64095,79.1318865,59847,,,89.1373005,32157,83.5013309,48201,,,79.1318865,59744,,,60.1504384,103624,,,,,,,,,,,,,,,,,,,66.4751458,89771,,,47.4576949,125801,,,,,,,,,,,,,,,,,,,,,42.2207447,134176,,,,,,,,,,,,
301,3176,"Thakur College Of Engineering And Technology, Kandivali, Mumbai",Mumbai,"Un-Aided, Auto",H,A,5 LPA,12 LPA,LM - Hindi,Information Technology,96.2211459,11386,,,,,,,,,,,,,,,,,95.5827675,13276,,,,,,,,,,,,,,,,,92.8098753,21562,97.2841901,8163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0961293,5128
296,6146,"Mit Academy Of Engineering,Alandi, Pune",Pune,"Un-Aided, Auto",H,A,6  LPA,24.74  LPA,,Computer Engineering,96.1824536,11553,95.5794695,13302,90.6756878,27881,64.9513096,94166,93.1559091,20565,92.5256639,22497,95.2773852,14259,95.2362773,14446,94.9520217,15287,96.0128841,12036,95.6719533,13065,89.778798,30410,61.3261708,100651,92.3038397,23110,91.6557848,24865,93.9958778,18046,94.2444474,17257,95.1653374,14683,,,96.6592611,10088,,,,,93.9032684,18281,92.9064162,21320,,,89.4824361,31050,,,,,89.2149834,32035,,,,,,,,,,,65.3627105,92782,,,50.6004122,121128,,,,,,,,,,,,,,,,,,,63.5258359,95754,,,,,,,,,,,,,91.648696,7777
2055,6282,"All India Shri Shivaji Memorial Society'S Institute Of Information Technology,Pune",Pune,"Un-Aided, Auto",M,A,4.5 LPA,7 LPA ,,Information Technology,96.1675401,11652,95.9287865,12334,90.2921536,29099,55.2318816,111943,90.4350482,28515,94.2444474,17295,95.6350031,13229,94.0759119,17838,95.8571012,12470,96.2756986,11269,96.1675401,11677,89.0376221,32503,61.6354671,100149,82.8590175,49402,92.7090329,21941,95.6719533,13057,,,95.649143,13138,,,96.4916874,10676,93.7458444,18882,,,92.2801912,23223,91.4391389,25604,,,54.0859766,114527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.2020296,8265
1629,3208,"Don Bosco Institute Of Technology, Mumbai",Mumbai,Un-Aided,M,A,3.45 LPA,NA,RM - Roman Catholics,Computer Engineering,96.1033294,11832,,,,,,,,,,,,,,,,,95.9024228,12355,,,,,,,,,,,,,,,,,39.2350823,138210,97.31048,8076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.2917186,6037
308,3012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,"Govt-Aided, Auto",L,A,19.71 LPA,57 LPA,,Textile Technology,96.5964131,10331,95.649143,13144,89.778798,30418,52.9935209,116734,90.0185936,29552,95.1867816,14578,94.5996586,16197,95.9287865,12350,93.1131822,20649,96.3915731,10904,92.4283175,22672,88.7794539,33075,68.2901694,85998,81.4024523,53569,,,92.6335559,22204,,,93.2403522,20342,,,96.6700602,10068,92.3371011,22865,,,93.8492553,18584,82.4585869,51104,,,,,,,,,,,90.52636,28069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,6207,"Dr. D. Y. Patil Unitech Society'S Dr. D. Y. Patil Institute Of Technology, Pimpri, Pune",Pune,Un-Aided,M,A,4-5  LPA,24  LPA,,Computer Engineering,96.0561858,11911,95.70302,12989,88.7794539,33097,60.1291862,104164,93.0486637,20857,92.7108008,21774,94.5541467,16460,95.0382314,14926,95.0008395,15110,96.47493,10702,96.0264086,12011,86.1227045,40712,60.5030966,102262,81.2928705,54159,92.2260059,23390,95.6466244,13196,94.2333542,17396,95.1653374,14680,,,97.0503719,8895,93.6707809,19141,1.9115192,178358,91.7923783,24652,90.9923873,26727,90.4350482,28461,69.7604398,83274,,,,,90.9569654,26781,,,,,,,,,,,,,31.3198919,149198,,,47.9842799,124797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.6459586,6699
124,6754,"International Institute Of Information Technology (I²It), Pune.",Pune,Un-Aided,M,A,8.11 LPA,9.34 LPA,,Computer Engineering,96.0561858,11906,95.1394167,14752,88.7794539,33109,50.0353239,122011,88.6037289,33660,92.8306497,21529,95.2921536,14180,93.2844613,20159,94.5198836,16566,96.1463313,11746,95.0221088,15065,85.7790463,41634,43.1231034,132800,82.8860671,49272,89.3223371,31551,96.0264086,12017,,,95.0779464,14788,,,96.953132,9180,93.4388584,19701,,,95.9432049,12332,91.3201487,25924,89.9513776,29798,72.7750912,75988,,,,,90.3886926,28685,,,,,,,,,,,,,83.1469549,48911,,,0.2440293,179472,,,63.5258359,95875,,,,,,,,,,,,,,,,,,,,,,,,,,,93.778614,5523
1602,6273,"Bansilal Ramnath Agarawal Charitable Trust'S Vishwakarma Institute Of Technology, Bibwewadi, Pune",Pune,"Un-Aided, Auto",H,A,6.34 LPA,33.75 LPA,,Mechanical Engineering,95.97045,12151,94.46635,16652,88.0156813,35657,52.9935209,116660,88.6037289,33641,91.6557848,24931,92.7090329,21952,94.7536895,15902,92.2022952,23480,94.0958488,17728,92.3038397,23092,80.7840564,55324,25.6745674,155687,79.5290328,58563,91.8585895,24363,90.0182846,29691,87.5899987,36287,90.8909574,27138,,,96.3075569,11198,89.8015148,30242,,,88.5172385,34037,83.7447544,47066,,,,,,,,,79.0646435,60083,,,,,81.3894523,53798,,,85.8632396,41496,42.8773305,133092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.7467694,9833
443,3185,"Vivekanand Education Society'S Institute Of Technology, Chembur, Mumbai",Mumbai,"Un-Aided, Auto",M,A,8 LPA,14.5 LPA,LM - Sindhi,Electronics And Telecommunication Engg,96.0561858,11926,,,,,,,,,,,,,,,,,96.0995605,11841,,,,,,,,,,,,,,,,,11.0205778,171312,96.1568889,11703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.373663,5956
2056,6156,"Marathwada Mitra Mandal'S College Of Engineering, Karvenagar, Pune",Pune,"Un-Aided, Auto",M,A,4.5 - 6  LPA,25  LPA,,Computer Engineering,96.0264086,11996,95.4867111,13644,89.4907774,31019,53.7694785,115424,89.9513776,29706,92.8912908,21341,93.871008,18436,93.8694333,18529,94.8397684,15410,95.9432049,12328,95.3932298,13853,88.6037289,33655,17.7533973,164853,82.8860671,49361,,,,,,,95.1394167,14721,,,96.0995605,11837,92.7091495,21869,,,91.2741634,26055,89.9196403,29891,,,52.2046883,117718,,,,,,,,,,,,,,,,,33.099972,146554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.463757,9101
348,3036,"Institute Of Chemical Technology, Matunga, Mumbai",Mumbai,"Deemed University, Autonomous",,A,6 LPA,9 LPA,,Fibres And Textile Processing Technology,96.2307277,11365,93.0486637,20826,89.4824361,31044,36.0381755,142962,,,,,,,,,93.3341645,20025,96.2437396,11326,94.4356715,16806,86.0863663,40867,,,,,87.295318,37461,92.1947909,23570,,,91.1268781,26592,,,92.5934223,22332,90.0185936,29616,,,83.5369475,48037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.2788198,6058
309,3204,"St. Francis Institute Of Technology,Borivali, Mumbai",Mumbai,"Un-Aided, Auto",M,A,4.72 LPA,13 LPA,RM - Christian,Computer Engineering,95.8528758,12515,,,,,,,,,,,,,,,,,95.1775609,14615,,,,,,,,,,,,,,,,,66.8404462,89640,96.1687682,11616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.682472,6673
#REF!,6282,"All India Shri Shivaji Memorial Society'S Institute Of Information Technology,Pune",Pune,"Un-Aided, Auto",M,A,4.5 LPA,7 LPA ,,Artificial Intelligence And Data Science,95.8198477,12674,95.4632721,13720,89.3223371,31527,58.1158577,106651,88.890236,32838,92.4300828,22633,94.8243232,15581,94.0958488,17718,95.0382314,14947,95.6350031,13223,95.1961436,14552,88.0156813,35664,50.6340761,120799,81.0485225,54667,,,93.0349499,20948,,,95.3015716,14111,,,96.3500312,11026,92.9064162,21310,,,91.1978661,26478,89.8755527,30104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.2486513,9330
125,3176,"Thakur College Of Engineering And Technology, Kandivali, Mumbai",Mumbai,"Un-Aided, Auto",H,A,5 LPA,12 LPA,LM - Hindi,Artificial Intelligence And Data Science,95.7929744,12778,,,,,,,,,,,,,,,,,95.2362773,14442,,,,,,,,,,,,,,,,,91.1269352,26570,96.3915731,10920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.1239053,6235
1603,6141,"Jaywant Shikshan Prasarak Mandal'S,Rajarshi Shahu College Of Engineering, Tathawade, Pune",Pune,"Un-Aided, Auto",M,A,6.5  LPA,47  LPA,,Computer Science And Business Systems,95.7280585,12875,95.2362773,14445,89.5570146,30861,26.1271353,155148,,,94.2444474,17264,94.4433332,16735,94.524207,16498,95.0382314,14938,95.436933,13753,95.0338694,14979,87.8945473,35951,,,77.6411427,64127,,,,,,,95.3887811,13926,,,96.3015293,11222,92.5256639,22489,,,91.5477593,25407,,,88.9034341,32809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.2867563,8168
444,3135,"Manjara Charitable Trust'S Rajiv Gandhi Institute Of Technology, Mumbai",Mumbai,Un-Aided,M,NA,7 LPA,20 LPA,,Computer Engineering,95.7154137,12939,94.689576,15973,92.7704421,21594,70.8722936,80376,87.3711769,37321,95.2450348,14386,94.46635,16656,90.1648893,29175,93.2547779,20253,95.7154137,12926,94.6574281,16061,91.9393058,24147,86.1969983,40237,80.2743712,56845,,,89.1945571,32127,,,91.7849899,24734,,,97.1782833,8515,91.2741634,26064,,,91.6680519,24861,82.4751693,50947,,,79.0646435,60133,,,,,,,,,,,,,,,,,,,69.4683908,83744,,,,,,,,,,,0.7577966,179109,,,,,,,,,,,,,,,,,,,,,,,91.057679,8419
349,3176,"Thakur College Of Engineering And Technology, Kandivali, Mumbai",Mumbai,"Un-Aided, Auto",H,A,5 LPA,12 LPA,LM - Hindi,Artificial Intelligence And Machine Learning,95.6863888,13005,,,,,,,,,,,,,,,,,94.689576,15991,,,,,,,,,,,,,,,,,89.3321697,31421,96.0128841,12049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.7513289,6612
310,3214,"Xavier Institute Of Engineering C/O Xavier Technical Institute,Mahim,Mumbai",Mumbai,Un-Aided,H,NA,5.67 LPA,32 LPA,RM - Christian,Computer Engineering,95.6636222,13114,,,,,,,,,,,,,,,,,95.3445649,14092,,,,,,,,,,,,,,,,,4.9021985,176292,96.3258356,11155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.9169333,6438
310,6004,"Government College Of Engineering & Research, Avasari Khurd",Pune,Govt,L,A,2-3  LPA,7.5  LPA,,Computer Engineering,95.5827675,13275,95.1394167,14719,89.8898358,29983,83.7447544,46995,88.0209851,35471,,,93.3341645,20048,,,94.5914991,16253,96.0264086,11997,94.565128,16387,92.1092219,23685,74.5088207,71228,93.3341645,20017,,,,,,,95.4867111,13630,,,97.9251183,6140,93.871008,18447,83.7440631,47223,92.2993808,23123,85.2662319,43074,86.889129,38414,,,,,,,,,,,,,,,,,,,,,28.0884374,152799,,,43.5298862,132238,,,33.099972,146515,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,6139,"Progressive Education Society'S Modern College Of Engineering, Pune",Pune,"Un-Aided, Auto",M,A,4-5  LPA,12  LPA,,Computer Engineering,95.5794695,13328,95.1653374,14692,89.7386952,30530,57.0470967,109819,89.7974248,30351,92.4283175,22692,94.2401197,17316,93.7092583,19013,94.7536895,15899,95.649143,13150,95.2233042,14454,87.6637005,36158,77.7152332,63875,85.4082122,42556,92.7090329,21967,93.2139295,20463,92.9064162,21309,95.0451763,14882,,,95.9024228,12381,92.66353,21989,,,90.7979989,27504,89.1373005,32184,,,68.0717863,86583,,,,,87.4463921,37172,,,,,89.5570146,30810,,,,,70.2544031,81935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.4651529,9088
1054,5121,"K. K. Wagh Institute Of Engineering Education And Research, Nashik",Nashik,"Un-Aided, Auto",M,,4.94 LPA,18 LPA,,Computer Engineering,95.5716924,13394,95.0167998,15104,88.7353399,33270,82.0158422,51863,92.8306497,21547,93.2798858,20228,93.1131822,20644,94.7886797,15731,93.5225248,19453,96.0032261,12081,95.3015716,14146,93.6711065,19092,89.4907774,30979,86.2308451,40028,,,95.5784574,13362,,,94.7906563,15688,,,96.8957779,9388,91.9393058,24130,68.2901694,85863,89.7974248,30315,89.2149834,32021,,,84.8060392,44191,,,,,,,,,,,,,,,,,79.7465759,58188,,,75.3410409,69405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.1917153,10464
1604,6146,"Mit Academy Of Engineering,Alandi, Pune",Pune,"Un-Aided, Auto",H,A,6  LPA,24.74  LPA,,Information Technology,95.5544287,13431,95.3571584,13997,89.5570146,30813,60.2921536,102851,,,,,,,,,94.6903844,15927,95.3015716,14123,95.2233042,14469,91.2379211,26292,73.8486985,73010,83.032746,48987,90.9518962,26896,93.284975,20122,94.0609349,17870,94.7906563,15679,,,96.0032261,12087,92.0214155,23906,,,92.0088098,23939,,,90.0724101,29506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.8926072,8573
445,3208,"Don Bosco Institute Of Technology, Mumbai",Mumbai,Un-Aided,M,A,3.45 LPA,NA,RM - Roman Catholics,Information Technology,95.5253765,13493,,,,,,,,,,,,,,,,,95.5784574,13372,,,,,,,,,,,,,,,,,0.3699835,179380,96.5648238,10416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0869394,7367
350,6207,"Dr. D. Y. Patil Unitech Society'S Dr. D. Y. Patil Institute Of Technology, Pimpri, Pune",Pune,Un-Aided,M,A,4-5  LPA,24  LPA,,Information Technology,95.5117816,13551,95.4867111,13654,87.920678,35820,50.9307179,120244,91.6093015,25181,91.6557848,24882,94.3796484,16923,95.0008395,15153,94.8163231,15661,95.70302,12992,95.5459404,13465,85.3822102,42652,47.4207012,126337,,,,,,,,,95.7154137,12957,,,96.5548768,10452,93.4772066,19560,,,91.7849899,24717,,,90.2921536,29093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.2187153,7195
311,3176,"Thakur College Of Engineering And Technology, Kandivali, Mumbai",Mumbai,"Un-Aided, Auto",H,A,5 LPA,12 LPA,LM - Hindi,Computer Science And Engineering (Cyber Security),95.4837021,13677,,,,,,,,,,,,,,,,,95.507349,13596,,,,,,,,,,,,,,,,,89.3223371,31571,96.1033294,11828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592,6272,"Dr. D. Y. Patil Pratishthan'S D.Y.Patil College Of Engineering Akurdi, Pune",Pune,"Un-Aided, Auto",M,A,4  LPA,52  LPA,,Electronics And Telecommunication Engg,95.4728747,13711,95.0382314,14935,89.4519884,31226,44.5064233,130257,89.778798,30393,93.8492553,18593,94.8376426,15495,95.3887811,13906,95.0382314,14948,95.7445909,12863,95.0221088,15061,88.1886477,34740,13.9490359,168276,78.4507504,61327,92.1947909,23558,93.6707809,19172,93.7092583,18992,95.3445649,14103,,,95.9566157,12247,92.4273158,22757,,,91.9723529,23996,89.0376221,32478,89.2149834,31998,57.2163252,108759,,,,,87.5123219,36547,,,,,,,,,,,60.6237408,101076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0778056,8351
1612,6274,"Pune Vidyarthi Griha'S College Of Engineering And Technology And G K Pate(Wani) Institute Of Management, Pune",Pune,Un-Aided,M,A,4.71 LPA,21.05 LPA,,Electronics And Telecommunication Engg,95.4728747,13692,94.5198836,16588,86.1764583,40399,30.8566205,150020,80.5896708,56035,92.2260059,23386,91.9365609,24211,92.1089443,23728,93.8694333,18523,95.5544287,13450,95.0496309,14862,87.4495947,37073,37.6014199,140907,,,,,94.4189289,16854,,,95.5117816,13575,,,95.884808,12427,93.7520868,18824,,,92.2405432,23340,90.3847828,28775,,,25.0606208,156616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.8587824,9722
1055,6146,"Mit Academy Of Engineering,Alandi, Pune",Pune,"Un-Aided, Auto",H,A,6  LPA,24.74  LPA,,Computer Science And Engineering (Artificial Intelligence And Machine Learning),95.4728747,13691,95.2773852,14256,91.7849899,24686,62.795808,98549,90.9518962,26888,,,,,94.7886797,15733,94.0242686,17989,95.3474417,14050,95.2044334,14511,90.8331157,27306,43.1231034,132743,,,89.4824361,31098,95.1653374,14670,,,94.0591659,17921,,,96.3476712,11084,90.8331157,27311,,,93.871008,18455,,,89.2835379,31728,,,,,,,,,,,,,,,,,,,66.4751458,89720,,,,,,,46.5102928,126991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1431,6175,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College Of Engineering, Pune",Pune,"Un-Aided, Auto",H,A,6.54  LPA,22  LPA,,Mechanical Engineering,95.4632721,13736,94.3208529,17134,86.889129,38416,15.4906838,167029,88.1140239,35115,90.2675844,29116,91.8585895,24373,93.7558327,18739,93.4109333,19801,94.1728861,17485,92.2993808,23134,81.2084441,54384,,,71.716606,78209,85.5759641,41789,89.2671256,31831,87.4463921,37100,92.1089443,23753,,,95.6320635,13257,90.1648893,29216,,,92.1230561,23611,79.5290328,58596,77.8445199,62731,,,,,,,74.5088207,71257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.2748243,11467
446,3211,"S.I.E.S. Graduate School Of Technology, Nerul, Navi Mumbai",Thane,Un-Aided,M,NA,6.5 LPA,10 LPA,LM - Tamil,Computer Engineering,95.4728747,13704,,,,,,,,,,,,,,,,,95.6350031,13205,,,,,,,,,,,,,,,,,42.725346,133430,96.3258356,11164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.2038376,6147
351,3214,"Xavier Institute Of Engineering C/O Xavier Technical Institute,Mahim,Mumbai",Mumbai,Un-Aided,H,NA,5.67 LPA,32 LPA,RM - Christian,Information Technology,95.3932298,13847,,,,,,,,,,,,,,,,,94.3462898,16965,,,,,,,,,,,,,,,,,8.4112538,173436,95.825716,12634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.2334144,8243
2009,6822,"Pimpri Chinchwad Education Trust'S Pimpri Chinchwad College Of Engineering And Research, Ravet",Pune,Un-Aided,M,A,4-5 LPA,19.5 LPA,,Electronics And Telecommunication Engg,95.3445649,14100,94.4796463,16628,85.1704164,43503,9.2050034,172805,,,,,,,91.2741634,26017,92.7610886,21685,95.7154137,12941,93.6592391,19219,86.2190813,40119,5.5566668,175737,76.8897938,65056,,,,,,,,,,,96.6266214,10163,93.4388584,19685,,,90.8293494,27365,,,85.9711131,41135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.7832299,7654
1593,6146,"Mit Academy Of Engineering,Alandi, Pune",Pune,"Un-Aided, Auto",H,A,6  LPA,24.74  LPA,,Computer Engineering (Software Engineering),95.3015716,14143,95.0496309,14847,89.7386952,30508,59.0509185,105838,95.2450348,14395,92.1947909,23561,94.9846427,15241,94.9846427,15249,94.2112699,17403,95.3558147,14017,94.46635,16690,89.3321697,31468,69.800376,82626,89.2149834,31949,93.1131822,20680,94.565128,16421,93.0486637,20839,94.1713006,17554,,,96.0507339,11949,91.5400668,25496,65.5509182,91742,93.4388584,19704,89.874785,30134,,,58.1588042,106467,,,,,,,,,,,,,,,,,39.5390798,137952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0619594,8391
1613,3204,"St. Francis Institute Of Technology,Borivali, Mumbai",Mumbai,"Un-Aided, Auto",M,A,4.72 LPA,13 LPA,RM - Christian,Information Technology,95.3015716,14135,,,,,,,,,,,,,,,,,94.589536,16287,,,,,,,,,,,,,,,,,36.9291471,141657,95.5459404,13472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.6054439,7842
445,3185,"Vivekanand Education Society'S Institute Of Technology, Chembur, Mumbai",Mumbai,"Un-Aided, Auto",M,A,8 LPA,14.5 LPA,LM - Sindhi,Automation And Robotics,95.2362773,14425,,,,,,,,,,,,,,,,,94.5227112,16515,,,,,,,,,,,,,,,,,28.3301002,152623,95.3474417,14047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.5846928,6789
1432,6754,"International Institute Of Information Technology (I²It), Pune.",Pune,Un-Aided,M,A,8.11 LPA,9.34 LPA,,Information Technology,95.1775609,14628,94.5541467,16455,87.5598503,36405,35.5925864,143267,86.5260265,39510,92.1230561,23617,93.8694333,18545,93.833949,18633,94.115178,17676,95.2642117,14373,94.5541467,16440,85.2572473,43267,67.5033807,88489,,,,,,,,,93.7641448,18722,,,95.96572,12203,92.6335559,22207,,,93.7520868,18815,89.2671256,31811,,,54.3568289,113910,,,,,,,,,,,,,,,,,,,69.2652564,84207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.7389127,6622
367,3139,"Vidyalankar Institute Of Technology,Wadala, Mumbai",Mumbai,"Un-Aided, Auto",H,NA,8 LPA,37.5 LPA,,Electronics And Computer Science,95.1775609,14623,94.1713006,17524,91.9723529,23984,67.5881106,88076,87.295318,37399,89.541677,30915,93.1282478,20622,94.8243232,15609,90.4057549,28537,95.1653374,14709,93.4923537,19520,88.5679854,33738,62.795808,98482,82.7820291,49627,91.2437024,26268,91.7222085,24748,,,91.9393058,24148,,,95.6719533,13050,89.4824361,31100,,,91.295495,25961,82.1493863,51711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0729553,9485
352,6278,"All India Shri Shivaji Memorial Society'S College Of Engineering, Pune",Pune,Un-Aided,M,A,4.50 LPA,12.50 LPA,,Artificial Intelligence And Machine Learning,95.1394167,14743,94.4796463,16632,87.2784734,37565,20.1344161,162274,86.8244074,38619,90.8909574,27194,92.5961339,22272,,,94.565128,16415,95.1867816,14565,94.4796463,16623,86.5260265,39537,14.7377685,167714,68.0717863,86480,,,,,,,94.565128,16394,,,95.6466244,13160,91.7222085,24771,,,91.7923783,24601,88.0209851,35400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.1138485,9440
1626,06276F,"Mksss'S Cummins College Of Engineering For Women, Karvenagar,Pune",Pune,"Un-Aided, Auto",H,A,,,,Instrumentation And Control Engineering,96.7175957,9989,95.1705464,14653,81.3894523,53750,46.5102928,126790,82.7090241,50170,92.8488216,21469,94.2061358,17466,,,92.7610886,21691,96.7175957,9989,95.1705464,14653,81.3894523,53750,46.5102928,126790,82.7090241,50170,92.8488216,21469,94.2061358,17466,,,92.7610886,21691,,,,,90.5913294,28017,,,94.4796463,16610,,,83.5806009,47695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
