Sr. No,Institute Code,Institute Name,DISTRICT,Status,Fees,Hostel,Avg Placement,Highest Placement,Minority,Branch,GOPEN,GOPEN R,GOBC,GOBC R,GSC,GSC R,GST( S & H),GST R,GVJ(S & H),GVJ R,GNT1(S & H),GNT1 R,GNT2( S& H),GNT2 R,GNT3( S& H),GNT3 R,GSEBC (S & H),GSEBC R,LOPEN( S & H),LOPEN R,LOBC(S & H),LOBC R,LSC( S&  H),LSC R,LST(S & H),LST R,LVJ(S & H),LVJ R,LNT1(S & H),LNT1 R,LNT2(S & H),LNT2 R,LNT3(S & H),LNT3 R,LSEBC(S & H),LSEBC R,MI,MI R,TFWS,TFWS R,EWS,EWS R,ORPHAN,ORPHAN R,DEFOPENS,DEFOPENS R,DEFOBCS,DEFOBCS R,DEFROBCS,DEFROBCS R,DEFSCS,DEFSCS R,DEFRSCS,DEFRSCS R,DEFSTS,DEFSTS R,DEFSEBCS,DEFSEBCS R,DEFRSEBCS,DEFRSEBCS R,DEFRNT1S,DEFRNT1S R,DEFRNT2S,DEFRNT2S R,DEFRNT3S,DEFRNT3S R,DEFRVJS,DEFRVJS R,PWDOPENS,PWDOPENS R,PWDOPENH,PWDOPENH R,PWDOBCS,PWDOBCS R,PWDOBCH,PWDOBCH R,PWDROBCS,PWDROBCS R,PWDROBCH,PWDROBCH R,PWDSCS,PWDSCS R,PWDSCH,PWDSCH R,PWDRSCS,PWDRSCS R,PWDRSCH,PWDRSCH R,PWDRSTS,PWDRSTS R,PWDRSTH,PWDRSTH R,PWDSEBCS,PWDSEBCS R,PWDRSEBCS,PWDRSEBCS R,PWDRSEBCH,PWDRSEBCH R,PWDRNT1S,PWDRNT1S R,PWDRNT2S,PWDRNT2S R,PWDRNT3S,PWDRNT3S R,PWDRVJS,PWDRVJS R,AI,AI R
1654,6283,"Annasaheb Dange College Of Engineering And Technology, Ashta, Sangli",Sangli,"Un-Aided, Auto",M,,8 LPA,30 LPA,,Aeronautical Engineering,73.4468855,74135,54.1800379,114029,53.8203081,114980,47.4576949,125807,13.2387508,169127,,,52.5184688,117110,,,67.8622856,86955,78.4440843,61565,58.5786927,105953,65.5509182,91861,,,,,44.5064233,130292,71.7115,78306,56.9588351,110240,72.6095528,76303,,,88.5551879,33833,55.2318816,112024,,,58.1588042,106538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0128982,44146
1655,6283,"Annasaheb Dange College Of Engineering And Technology, Ashta, Sangli",Sangli,"Un-Aided, Auto",M,,8 LPA,30 LPA,,Civil Engineering,66.4751458,89743,21.0368242,161413,21.4924132,160482,,,,,25.7846411,155449,52.0276576,118260,30.954192,149698,40.99476,135962,50.9307179,120280,35.6703287,143222,21.472809,160784,,,1.3879654,178722,,,,,,,44.4778985,130743,,,,,46.3188381,127907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.8312223,79626
1656,6283,"Annasaheb Dange College Of Engineering And Technology, Ashta, Sangli",Sangli,"Un-Aided, Auto",M,,8 LPA,30 LPA,,Computer Science And Engineering,85.7455441,41730,81.3894523,53696,71.7115,78438,,,81.7658119,52961,79.1872032,59486,85.1704164,43466,81.7098306,53035,85.0743746,43748,85.9343121,41257,85.5052176,42063,67.0458361,88883,,,80.0615027,57330,84.5731157,44861,87.1564824,37600,52.5184688,117342,85.5052176,42021,,,88.9266712,32671,81.1614491,54540,,,73.8893284,72815,48.0648514,124684,,,,,,,,,27.4048925,154275,,,,,69.2652564,84235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0337722,33164
1657,6283,"Annasaheb Dange College Of Engineering And Technology, Ashta, Sangli",Sangli,"Un-Aided, Auto",M,,8 LPA,30 LPA,,Artificial Intelligence And Data Science,83.7447544,47063,81.0378274,54781,66.8505265,89318,,,66.8505265,89231,81.0378274,54812,82.4751693,50826,75.5247196,68840,82.8860671,49291,85.8632396,41480,81.3738935,53940,79.5290328,58406,,,,,,,,,,,84.2430574,45913,,,87.5598503,36397,80.9741447,54928,,,68.2901694,85985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1658,6283,"Annasaheb Dange College Of Engineering And Technology, Ashta, Sangli",Sangli,"Un-Aided, Auto",M,,8 LPA,30 LPA,,Electrical Engineering,71.7115,78378,53.7694785,115572,27.815423,153358,,,6.2399253,175139,44.4778985,130629,67.5033807,88525,24.3027383,157653,68.0717863,86752,71.4038201,78987,57.1959853,108968,46.2784017,128352,,,67.8622856,87010,57.2537563,108272,67.5881106,88071,,,68.9053056,84932,,,82.4751693,50814,62.8733646,97844,,,39.0541888,138569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.3223255,56464
1659,6283,"Annasaheb Dange College Of Engineering And Technology, Ashta, Sangli",Sangli,"Un-Aided, Auto",M,,8 LPA,30 LPA,,Food Technology,88.5172385,36480,81.0602063,58331,60.596742,107375,86.6250899,42115,73.1194108,79985,,,80.2798385,60581,,,77.5670525,68651,93.7730871,20120,90.0222965,31734,73.5848302,78627,,,,,,,,,83.2848155,52020,55.0306337,119100,,,,,69.627936,88806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.4506503,36664
1660,6283,"Annasaheb Dange College Of Engineering And Technology, Ashta, Sangli",Sangli,"Un-Aided, Auto",M,,8 LPA,30 LPA,,Mechanical Engineering,62.8351694,98155,43.1231034,132907,13.6336642,168885,,,32.1785112,147732,50.6340761,120935,58.1158577,106654,1.0664038,178944,57.2537563,108508,58.1158577,106851,23.9454765,158630,16.2423214,166075,,,,,,,55.0733859,112861,,,50.0353239,121790,,,76.7300255,65777,45.4574846,129140,,,35.3791065,143692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.9375191,78107
1661,6283,"Annasaheb Dange College Of Engineering And Technology, Ashta, Sangli",Sangli,"Un-Aided, Auto",M,,8 LPA,30 LPA,,Computer Science And Engineering (Internet Of Things And Cyber Security Including Block Chain Technology),81.1614491,54430,76.0337773,68049,57.9919409,107169,,,60.1504384,103858,,,,,,,78.4440843,61413,81.658825,53263,78.956117,60417,63.2340107,96681,,,50.9307179,119936,73.4250332,74404,75.0114283,70272,76.7776254,65671,78.2152555,61806,,,82.4751693,50815,72.5041736,76355,,,79.4895283,59028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.8994288,36746
178,2116,"Matoshri Pratishan'S Group Of Institutions (Integrated Campus), Kupsarwadi , Nanded",Nanded,Un-Aided,L,,,,,Electronics And Telecommunication Engg,51.1396363,119674,40.1585977,136826,32.2475132,147499,,,26.1271353,155014,,,40.2848342,136624,,,6.7863525,174704,54.0550229,114777,47.6302148,125491,49.6193645,122757,,,,,,,,,,,,,,,65.3627105,92896,16.6009499,165604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0424586,88046
931,4177,"Priyadarshini Bhagwati College Of Engineering, Harpur Nagar, Umred Road,Nagpur",Nagpur,Un-Aided,M,,3.17 LPA,76.67 LPA,LM - Hindi,Civil Engineering,46.3828235,127218,,,,,,,,,,,,,,,,,47.4207012,126397,,,,,,,,,,,,,,,,,,,45.5784574,128592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.2947607,61976
1099,5152,"G H Raisoni College Of Engineering And Management, Jalgaon",Jalgaon,"Un-Aided, Auto",L,,4.12 LPA,9 LPA,LM - Hindi,Mechanical Engineering,45.521922,128925,,,,,,,,,,,,,,,,,43.9565943,131216,,,,,,,,,,,,,,,,,2.2512917,178203,65.2878345,93220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.4493618,64154
552,3206,"S.S.P.M.'S College Of Engineering, Kankavli",Sindhudurg,Un-Aided,L,,3 LPA,10 LPA,,Electronics And Computer Science,66.8505265,89363,48.777949,123454,34.805294,144670,,,,,,,,,,,10.4465918,171701,63.7045846,95075,50.8618056,120608,,,,,,,,,,,,,31.3198919,149200,,,73.1237323,74818,55.2318816,112096,,,6.7863525,174726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5512762,86432
1181,5179,"Vishwabharati Academy'S College Of Engineering, Ahmednagar",Ahmednagar,Un-Aided,L,,1.5 to 2.5 LPA,7 LPA,,Mechanical Engineering,41.8427081,134985,5.4801079,175830,,,,,,,,,,,,,,,62.7875345,98943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.9483531,74854
599,3218,"Aldel Education Trust'S St. John College Of Engineering & Management, Vevoor, Palghar",Palghar,"Un-Aided, Auto",M,A,3 LPA,8 LPA,RM - Christian,Civil Engineering,48.6138054,124220,,,,,,,,,,,,,,,,,28.0884374,152871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1214416,181379
1255,5390,"K.V.N. Naik S. P. Sansth'S Loknete Gopinathji Munde Institute Of Engineering Education & Research, Nashik.",Nashik,Un-Aided,L,,3 LPA,10 LPA,,Mechanical Engineering,50.6340761,120646,47.4576949,125834,,,32.2475132,147553,,,46.3657898,127703,,,46.3828235,127370,,,38.0295157,140532,30.4575002,150411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.6700467,81751
